Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2012,AFG,CHN,Afghanistan,China,REF,,,,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2012,AFG,CHL,Afghanistan,Chile,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2012,AFG,CMR,Afghanistan,Cameroon,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,COL,Afghanistan,Colombia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,CRI,Afghanistan,Costa Rica,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,CYP,Afghanistan,Cyprus,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2012,AFG,CYP,Afghanistan,Cyprus,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2012,AFG,CZE,Afghanistan,Czechia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2012,AFG,CZE,Afghanistan,Czechia,REF,,,,0,0,0,0,0,110,110,0,0,0,0,0,131,131,241
2012,AFG,DNK,Afghanistan,Denmark,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
2012,AFG,DNK,Afghanistan,Denmark,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515
2012,AFG,ECU,Afghanistan,Ecuador,ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2012,AFG,ECU,Afghanistan,Ecuador,REF,,,,0,0,7,38,5,0,50,0,8,5,44,6,0,63,113
2012,AFG,EST,Afghanistan,Estonia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,EST,Afghanistan,Estonia,REF,,,,0,0,0,0,0,0,0,0,0,0,14,0,0,14,14
2012,AFG,ETH,Afghanistan,Ethiopia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,FJI,Afghanistan,Fiji,ASY,,,,0,0,0,7,0,0,7,0,0,0,0,0,0,0,7
2012,AFG,FJI,Afghanistan,Fiji,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,FIN,Afghanistan,Finland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
2012,AFG,FIN,Afghanistan,Finland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137
2012,AFG,FRA,Afghanistan,France,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595
2012,AFG,FRA,Afghanistan,France,REF,,,,0,0,0,0,0,673,673,0,0,0,0,0,1917,1917,2590
2012,AFG,GBR,Afghanistan,United Kingdom of Great Britain and Northern Ireland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262
2012,AFG,GBR,Afghanistan,United Kingdom of Great Britain and Northern Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9845
2012,AFG,GEO,Afghanistan,Georgia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,GEO,Afghanistan,Georgia,REF,,,,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5
2012,AFG,DEU,Afghanistan,Germany,ASY,,,,520,640,633,2421,211,0,4425,608,764,1915,6440,205,0,9932,14357
2012,AFG,DEU,Afghanistan,Germany,REF,,,,382,1240,1501,8583,2455,0,14161,432,1320,1960,12102,1771,0,17585,31746
2012,AFG,GRC,Afghanistan,Greece,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343
2012,AFG,HKG,Afghanistan,"China, Hong Kong Special Administrative Region",ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2012,AFG,HKG,Afghanistan,"China, Hong Kong Special Administrative Region",REF,,,,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2012,AFG,HRV,Afghanistan,Croatia,ASY,,,,5,6,5,17,0,0,33,10,11,11,61,0,0,93,126
2012,AFG,HRV,Afghanistan,Croatia,REF,,,,0,5,0,0,0,0,5,0,0,5,9,0,0,14,19
2012,AFG,HUN,Afghanistan,Hungary,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131
2012,AFG,ISL,Afghanistan,Iceland,ASY,,,,0,0,0,0,0,0,0,0,0,0,6,0,0,6,11
2012,AFG,ISL,Afghanistan,Iceland,REF,,,,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2012,AFG,CIV,Afghanistan,Côte d'Ivoire,REF,,,,0,0,0,8,0,0,8,0,0,0,5,0,0,5,13
2012,AFG,IND,Afghanistan,India,ASY,,,,21,51,45,149,5,0,271,33,57,43,155,12,0,300,571
2012,AFG,IND,Afghanistan,India,REF,,,,212,562,473,3513,373,0,5133,250,581,600,2742,327,0,4500,9633
2012,AFG,IDN,Afghanistan,Indonesia,ASY,,,,16,20,138,36,0,0,210,10,413,2271,57,34,0,2785,2995
2012,AFG,IDN,Afghanistan,Indonesia,REF,,,,8,5,35,10,0,0,58,5,99,690,18,21,0,833,891
2012,AFG,IRL,Afghanistan,Ireland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
2012,AFG,IRL,Afghanistan,Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
2012,AFG,IRN,Afghanistan,Iran (Islamic Republic of),ASY,,,,0,5,0,0,0,0,5,0,0,0,8,0,0,8,13
2012,AFG,IRN,Afghanistan,Iran (Islamic Republic of),REF,,,,1853,2523,2707,6129,609,0,13821,1931,2495,2880,6294,842,0,14442,824087
2012,AFG,IRQ,Afghanistan,Iraq,ASY,,,,0,8,0,0,6,0,14,0,0,9,9,0,0,18,32
2012,AFG,IRQ,Afghanistan,Iraq,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,ITA,Afghanistan,Italy,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162
2012,AFG,ITA,Afghanistan,Italy,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5058
2012,AFG,JOR,Afghanistan,Jordan,ASY,,,,0,0,0,0,0,0,0,0,0,7,5,0,0,12,12
2012,AFG,JOR,Afghanistan,Jordan,REF,,,,0,5,0,0,0,0,5,0,0,0,7,0,0,7,12
2012,AFG,JPN,Afghanistan,Japan,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,JPN,Afghanistan,Japan,REF,,,,0,0,0,0,0,12,12,0,0,0,0,0,22,22,34
2012,AFG,KAZ,Afghanistan,Kazakhstan,ASY,,,,6,0,0,10,0,0,16,0,6,0,13,0,0,19,35
2012,AFG,KAZ,Afghanistan,Kazakhstan,REF,,,,27,36,33,146,5,0,247,24,38,29,181,6,0,278,525
2012,AFG,KEN,Afghanistan,Kenya,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,KGZ,Afghanistan,Kyrgyzstan,ASY,,,,5,9,11,40,0,0,65,7,14,12,51,0,0,84,149
2012,AFG,KGZ,Afghanistan,Kyrgyzstan,REF,,,,5,40,22,93,5,0,165,11,19,29,148,5,0,212,377
2012,AFG,KOR,Afghanistan,Republic of Korea,ASY,,,,0,0,0,0,0,0,0,0,0,0,22,0,0,22,22
2012,AFG,KOR,Afghanistan,Republic of Korea,REF,,,,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2012,AFG,LBN,Afghanistan,Lebanon,ASY,,,,0,0,0,0,0,0,0,0,8,0,6,0,0,14,14
2012,AFG,LBN,Afghanistan,Lebanon,REF,,,,0,0,0,0,0,0,0,0,0,0,12,0,0,12,12
2012,AFG,LKA,Afghanistan,Sri Lanka,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,LKA,Afghanistan,Sri Lanka,REF,,,,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5
2012,AFG,LTU,Afghanistan,Lithuania,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2012,AFG,LTU,Afghanistan,Lithuania,REF,,,,10,0,0,5,0,0,15,0,0,6,23,0,0,29,134
2012,AFG,LVA,Afghanistan,Latvia,ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2012,AFG,LVA,Afghanistan,Latvia,REF,,,,7,0,0,0,0,0,7,0,5,0,9,0,0,14,28
2012,AFG,MAC,Afghanistan,"China, Macao Special Administrative Region",ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,MKD,Afghanistan,Republic of North Macedonia,ASY,,,,7,14,10,15,0,0,46,7,22,32,108,0,0,169,215
2012,AFG,MDA,Afghanistan,Republic of Moldova,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,MDA,Afghanistan,Republic of Moldova,REF,,,,0,0,0,5,0,0,5,0,0,0,9,0,0,9,14
2012,AFG,MEX,Afghanistan,Mexico,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2012,AFG,MEX,Afghanistan,Mexico,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,MYS,Afghanistan,Malaysia,ASY,,,,6,9,6,22,0,0,43,0,8,9,55,0,0,72,115
2012,AFG,MYS,Afghanistan,Malaysia,REF,,,,13,30,25,85,5,0,158,13,21,23,129,5,0,191,349
2012,AFG,MNG,Afghanistan,Mongolia,ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2012,AFG,MAR,Afghanistan,Morocco,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,MOZ,Afghanistan,Mozambique,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,MOZ,Afghanistan,Mozambique,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,NPL,Afghanistan,Nepal,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,NLD,Afghanistan,Netherlands,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473
2012,AFG,NLD,Afghanistan,Netherlands,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6126
2012,AFG,NOR,Afghanistan,Norway,ASY,,,,0,0,0,0,0,200,200,0,0,0,0,0,758,758,958
2012,AFG,NOR,Afghanistan,Norway,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5984
2012,AFG,NRU,Afghanistan,Nauru,ASY,,,,0,0,0,0,0,0,0,0,0,0,66,0,0,66,66
2012,AFG,NZL,Afghanistan,New Zealand,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2012,AFG,NZL,Afghanistan,New Zealand,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2012,AFG,PAK,Afghanistan,Pakistan,ASY,,,,165,337,299,821,43,0,1665,180,377,367,590,41,0,1555,3220
2012,AFG,PAK,Afghanistan,Pakistan,REF,,,,100102,183165,123261,341175,20961,0,768664,105902,192107,143552,386622,40893,0,869076,1637740
2012,AFG,PAN,Afghanistan,Panama,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,PAN,Afghanistan,Panama,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,PHL,Afghanistan,Philippines,REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2012,AFG,PNG,Afghanistan,Papua New Guinea,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2012,AFG,PNG,Afghanistan,Papua New Guinea,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,POL,Afghanistan,Poland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
2012,AFG,POL,Afghanistan,Poland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
2012,AFG,PRT,Afghanistan,Portugal,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2012,AFG,PRT,Afghanistan,Portugal,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2012,AFG,ROU,Afghanistan,Romania,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AFG,ROU,Afghanistan,Romania,REF,,,,0,0,0,0,0,0,0,0,0,0,24,0,0,24,125
2012,AFG,ZAF,Afghanistan,South Africa,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2012,AFG,RUS,Afghanistan,Russian Federation,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348
2012,AFG,RUS,Afghanistan,Russian Federation,OOC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092
2012,AFG,RUS,Afghanistan,Russian Federation,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300
